date,balance
2013-01-17,101167050081.0
2013-01-18,101068531429.0
2013-01-21,103244014364.0
2013-01-22,105345746183.0
2013-01-23,106932052622.0
2013-01-24,107090787743.0
2013-01-25,107176859778.0
2013-01-28,108611634815.0
2013-01-29,110775922677.0
2013-01-30,113097294483.0
2013-01-31,113873732699.0
2013-02-01,114432980192.0
2013-02-04,117792910541.0
2013-02-05,119512549292.0
2013-02-06,121544279576.0
2013-02-07,123387241128.0
2013-02-08,120774984054.0
2013-02-18,125356791229.0
2013-02-19,128608294857.0
2013-02-20,129546359426.0
2013-02-21,131483934218.0
2013-02-22,131513554201.0
2013-02-25,132894921881.0
2013-02-26,135065139735.0
2013-02-27,135818114817.0
2013-02-28,136223152868.0
2013-03-01,137589907840.0
2013-03-04,140425693449.0
2013-03-05,142275239995.0
2013-03-06,144240077548.0
2013-03-07,145384547767.0
2013-03-08,145888996691.0
2013-03-11,147305515815.0
2013-03-12,146699004122.0
2013-03-13,148611157774.0
2013-03-14,149474428298.0
2013-03-15,150103393014.0
2013-03-18,151255765530.0
2013-03-19,152085552019.0
2013-03-20,153142355884.0
2013-03-21,154574409884.0
2013-03-22,155657444305.0
2013-03-25,157381853667.0
2013-03-26,158978709846.0
2013-03-27,160423095820.0
2013-03-28,161436605893.0
2013-03-29,160828647813.0
2013-04-01,162091440371.0
2013-04-02,162712603813.0
2013-04-03,162395977127.0
2013-04-08,164103661826.0
2013-04-09,165126826054.0
2013-04-10,165467634469.0
2013-04-11,166196497729.0
2013-04-12,166036105821.0
2013-04-15,166305170038.0
2013-04-16,166666933082.0
2013-04-17,167955809982.0
2013-04-18,168840901283.0
2013-04-19,169304040381.0
2013-04-22,172058506264.0
2013-04-23,173866086843.0
2013-04-24,175195964171.0
2013-04-25,175903569592.0
2013-04-26,174296767616.0
2013-05-02,175587128737.0
2013-05-03,175299886429.0
2013-05-06,178031052749.0
2013-05-07,179585289673.0
2013-05-08,180563982483.0
2013-05-09,182951937536.0
2013-05-10,183674444417.0
2013-05-13,186078360269.0
2013-05-14,188393197621.0
2013-05-15,190150506144.0
2013-05-16,192076904204.0
2013-05-17,192213808328.0
2013-05-20,195232807124.0
2013-05-21,198789289738.0
2013-05-22,201340319996.0
2013-05-23,204541265929.0
2013-05-24,206039656002.0
2013-05-27,209258201332.0
2013-05-28,210826710105.0
2013-05-29,213519942216.0
2013-05-30,216244862289.0
2013-05-31,217629088929.0
2013-06-03,220365202458.0
2013-06-04,222332236778.0
2013-06-05,223454468947.0
2013-06-06,224370989181.0
2013-06-07,222836023222.0
2013-06-13,224229994954.0
2013-06-14,224103745263.0
2013-06-17,226520257874.0
2013-06-18,227634727282.0
2013-06-19,229183078602.0
2013-06-20,230278364026.0
2013-06-21,229569702064.0
2013-06-24,227032908599.0
2013-06-25,221974277523.0
2013-06-26,222133059514.0
2013-06-27,220329541942.0
2013-06-28,218521650365.0
2013-07-01,218222274535.0
2013-07-02,218592491037.0
2013-07-03,219599389431.0
2013-07-04,219813568109.0
2013-07-05,219415631910.0
2013-07-08,218686046908.0
2013-07-09,218359126461.0
2013-07-10,219061609580.0
